match_id,season,venue,team1,team2,toss_winner,toss_decision,winner
201,2022,"Eden Gardens, Kolkata",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals
202,2022,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Mumbai Indians
203,2022,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
204,2022,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Gujarat Titans,Gujarat Titans,bat,Chennai Super Kings
205,2022,"Arun Jaitley Stadium, Delhi",Punjab Kings,Gujarat Titans,Punjab Kings,field,Gujarat Titans
206,2022,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
207,2022,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,Gujarat Titans
208,2022,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Mumbai Indians
209,2022,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,bat,Lucknow Super Giants
210,2022,"Rajiv Gandhi International Stadium, Hyderabad",Gujarat Titans,Lucknow Super Giants,Gujarat Titans,field,Gujarat Titans
211,2022,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings
212,2022,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians
213,2022,"Eden Gardens, Kolkata",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad
214,2022,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad
215,2022,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,bat,Chennai Super Kings
216,2022,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
217,2022,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings
218,2022,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
219,2022,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders
220,2022,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru
221,2022,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
222,2022,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,field,Sunrisers Hyderabad
223,2022,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bengaluru
224,2022,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
225,2022,"Eden Gardens, Kolkata",Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings
226,2023,"Wankhede Stadium, Mumbai",Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Delhi Capitals
227,2023,"Eden Gardens, Kolkata",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
228,2023,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians
229,2023,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings
230,2023,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals
231,2023,"Rajiv Gandhi International Stadium, Hyderabad",Gujarat Titans,Lucknow Super Giants,Gujarat Titans,field,Gujarat Titans
232,2023,"Eden Gardens, Kolkata",Punjab Kings,Gujarat Titans,Punjab Kings,bat,Gujarat Titans
233,2023,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders
234,2023,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians
235,2023,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders
236,2023,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,Lucknow Super Giants
237,2023,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,field,Royal Challengers Bengaluru
238,2023,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
239,2023,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
240,2023,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad
241,2023,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,Lucknow Super Giants
242,2023,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
243,2023,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders
244,2023,"M. Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
245,2023,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,field,Royal Challengers Bengaluru
246,2023,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Mumbai Indians
247,2023,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals
248,2023,"Wankhede Stadium, Mumbai",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Delhi Capitals
249,2023,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians
250,2023,"M. Chinnaswamy Stadium, Bengaluru",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals
251,2023,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,field,Sunrisers Hyderabad
252,2023,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,bat,Gujarat Titans
253,2023,"Wankhede Stadium, Mumbai",Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants
254,2023,"Eden Gardens, Kolkata",Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings
255,2023,"Eden Gardens, Kolkata",Punjab Kings,Rajasthan Royals,Punjab Kings,field,Punjab Kings
256,2023,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings
257,2023,"M. Chinnaswamy Stadium, Bengaluru",Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants
258,2023,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings
259,2023,"M. Chinnaswamy Stadium, Bengaluru",Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,Gujarat Titans
260,2023,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
261,2023,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
262,2023,"M. Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
263,2023,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,Kolkata Knight Riders
264,2023,"Wankhede Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
265,2023,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
266,2023,"Eden Gardens, Kolkata",Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals
267,2023,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,bat,Punjab Kings
268,2023,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
269,2023,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,bat,Lucknow Super Giants
270,2023,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians
271,2024,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bengaluru
272,2024,"Wankhede Stadium, Mumbai",Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings
273,2024,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Chennai Super Kings
274,2024,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
275,2024,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals
276,2024,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
277,2024,"Wankhede Stadium, Mumbai",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
278,2024,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians
279,2024,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants
280,2024,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
281,2024,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
282,2024,"M. Chinnaswamy Stadium, Bengaluru",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
283,2024,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Delhi Capitals
284,2024,"Eden Gardens, Kolkata",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings
285,2024,"Eden Gardens, Kolkata",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders
286,2024,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders
287,2024,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders
288,2024,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
289,2024,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,field,Kolkata Knight Riders
290,2024,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants
291,2024,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings,Gujarat Titans,Gujarat Titans,bat,Gujarat Titans
292,2024,"Eden Gardens, Kolkata",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Punjab Kings
293,2024,"Eden Gardens, Kolkata",Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,bat,Gujarat Titans
294,2024,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals
295,2024,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru
296,2024,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians
297,2024,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,field,Sunrisers Hyderabad
298,2024,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
299,2024,"Eden Gardens, Kolkata",Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals
300,2024,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
301,2024,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians
302,2024,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings
303,2024,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
304,2024,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals
305,2024,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Capitals,Punjab Kings,Punjab Kings,bat,Punjab Kings
306,2024,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
307,2024,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,bat,Kolkata Knight Riders
308,2024,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
309,2024,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
310,2024,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Mumbai Indians
311,2024,"M. Chinnaswamy Stadium, Bengaluru",Punjab Kings,Rajasthan Royals,Punjab Kings,field,Punjab Kings
312,2024,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals
313,2024,"Wankhede Stadium, Mumbai",Punjab Kings,Gujarat Titans,Punjab Kings,field,Gujarat Titans
314,2024,"Rajiv Gandhi International Stadium, Hyderabad",Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings
315,2024,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Punjab Kings
